lr-Adam,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-06,0,,,,,,,,,,,
,9,4.0,0.024444494396448135,0.9905999898910522,0.9010528326034546,0.9057794809341431,0.9034014940261841,4.636845111846924,279.0,10.195749282836914,14.857038497924805,0
,19,4.0,0.04383883997797966,0.9841499924659729,0.7608019113540649,0.8597742319107056,0.8019524216651917,3.8678805828094482,278.0,40.80778884887695,44.71950912475586,0
,29,4.0,0.11050047725439072,0.9638500213623047,0.7717973589897156,0.7367842197418213,0.7529326677322388,4.788128852844238,319.0,23.542724609375,28.44135284423828,0
,39,4.0,0.048210207372903824,0.980650007724762,0.854299783706665,0.8985737562179565,0.8749964237213135,4.716128826141357,300.0,28.844282150268555,33.608619689941406,0
,49,4.0,0.05205542594194412,0.9778500199317932,0.779700517654419,0.909548282623291,0.8312802314758301,3.3319075107574463,265.0,10.534099578857422,13.918062210083008,0
,59,4.0,0.06002131476998329,0.9785000085830688,0.6735775470733643,0.6756206154823303,0.6745926737785339,4.997764587402344,210.0,10.738146781921387,15.79593276977539,0
,69,4.0,0.02585430257022381,0.9927499890327454,0.8246773481369019,0.852766215801239,0.8381226062774658,3.8467178344726562,69.0,1.743686556816101,5.61625862121582,0
,79,4.0,0.041063740849494934,0.984250009059906,0.7478451728820801,0.8238558769226074,0.7805309295654297,3.5632529258728027,109.0,6.2559380531311035,9.860254287719727,0
,89,4.0,0.06356072425842285,0.9779499769210815,0.6532465219497681,0.732733428478241,0.68426114320755,3.617096185684204,165.0,8.62187385559082,12.302530288696289,0
,99,4.0,0.0748467743396759,0.9784500002861023,0.8199347257614136,0.766487717628479,0.7905873656272888,4.285790920257568,323.0,13.578490257263184,17.939128875732422,0
