lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
1e-06,9.999999999999999e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.0,0.024463273584842682,0.994700014591217,0.632910966873169,0.5844119191169739,0.6031481623649597,3.691189765930176,27.0,1.4432023763656616,5.158855438232422,0,,,,,,,,,,,,,,,
,,19,2.0,0.03617681562900543,0.984499990940094,0.7841725945472717,0.9404001235961914,0.8443599939346313,3.1202101707458496,151.0,24.14578628540039,27.302173614501953,0,,,,,,,,,,,,,,,
,,29,2.0,0.05055493488907814,0.9781000018119812,0.849841296672821,0.9186693429946899,0.8807759284973145,4.264002799987793,242.0,36.32047653198242,40.635032653808594,0,,,,,,,,,,,,,,,
,,39,2.0,0.07645612955093384,0.9735000133514404,0.7679113745689392,0.7033395171165466,0.7308271527290344,4.644563674926758,190.0,5.053134918212891,9.774154663085938,0,,,,,,,,,,,,,,,
,,49,2.0,0.04881081357598305,0.980400025844574,0.6337935328483582,0.7382434010505676,0.6705215573310852,4.534986972808838,66.0,0.39132651686668396,4.975124359130859,0,,,,,,,,,,,,,,,
,,59,2.0,0.01879926025867462,0.9936000108718872,0.6834578514099121,0.7532594799995422,0.7126767039299011,2.6820461750030518,28.0,0.3901943862438202,3.0910398960113525,0,,,,,,,,,,,,,,,
,,69,2.0,0.06097787991166115,0.9757999777793884,0.8175592422485352,0.7200909852981567,0.7592936754226685,3.7776708602905273,164.0,2.9297666549682617,6.768415451049805,0,,,,,,,,,,,,,,,
,,79,2.0,0.042316872626543045,0.9865000247955322,0.7443180680274963,0.8586201667785645,0.7901468276977539,3.1769964694976807,108.0,19.402584075927734,22.621896743774414,0,,,,,,,,,,,,,,,
,,89,2.0,0.019059522077441216,0.9926000237464905,0.7347375154495239,0.9147392511367798,0.7992079257965088,2.4268112182617188,63.0,7.237033367156982,9.682904243469238,0,,,,,,,,,,,,,,,
,,99,2.0,0.07125917077064514,0.9700000286102295,0.6546518802642822,0.6573866009712219,0.6560060977935791,4.45160436630249,114.0,1.9821065664291382,6.504970073699951,0,,,,,,,,,,,,,,,
