lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-06,9.999999999999999e-06,0,,,,,,,,,,,
,,9,2.0,0.033205609768629074,0.9934999942779541,0.5924437046051025,0.6266145706176758,0.6068019866943359,4.168517112731934,20.0,0.2556878626346588,4.4574103355407715,0
,,19,2.0,0.07204251736402512,0.9757999777793884,0.7451224327087402,0.7588726878166199,0.7517948150634766,5.43063497543335,228.0,4.865653038024902,10.368330001831055,0
,,29,2.0,0.05885398015379906,0.9768000245094299,0.7267565727233887,0.828164279460907,0.7674851417541504,6.066248893737793,105.0,5.524218559265137,11.649321556091309,0
,,39,2.0,0.05127769708633423,0.9815999865531921,0.8218815922737122,0.8843955993652344,0.8501390218734741,4.7866692543029785,230.0,14.456677436828613,19.29462432861328,0
,,49,2.0,0.031254447996616364,0.9901000261306763,0.6356974840164185,0.7121979594230652,0.6652916669845581,3.8069543838500977,40.0,0.7339655160903931,4.572174549102783,0
,,59,2.0,0.025531738996505737,0.991100013256073,0.7015718817710876,0.7371572852134705,0.7178829312324524,3.4997434616088867,60.0,6.178117275238037,9.703392028808594,0
,,69,2.0,0.07589522004127502,0.9787999987602234,0.6191981434822083,0.5691177248954773,0.5869379043579102,5.355051040649414,157.0,5.056171894073486,10.487117767333984,0
,,79,2.0,0.03833276778459549,0.9865000247955322,0.9006392359733582,0.6918416619300842,0.7580606341362,4.9589385986328125,108.0,4.890830039978027,9.888101577758789,0
,,89,2.0,0.06489085406064987,0.9697999954223633,0.822773277759552,0.9176763296127319,0.8631404638290405,4.280800819396973,278.0,24.510902404785156,28.85659408569336,0
,,99,2.0,0.049985483288764954,0.9853000044822693,0.7984315156936646,0.6890401840209961,0.7309304475784302,5.12266206741333,152.0,8.406112670898438,13.578760147094727,0
,,109,2.0,0.07733418047428131,0.9695000052452087,0.6168298721313477,0.8392785787582397,0.6697801351547241,4.485239028930664,78.0,0.2560358941555023,4.818609237670898,0
,,119,2.0,0.016623439267277718,0.9961000084877014,0.8282293081283569,0.9700684547424316,0.886299729347229,2.5564215183258057,66.0,1.091475486755371,3.664520502090454,0
,,129,2.0,0.043241966515779495,0.9854000210762024,0.7986552715301514,0.9129521250724792,0.8460533618927002,3.8761377334594727,188.0,24.087894439697266,28.007274627685547,0
,,139,2.0,0.11054155230522156,0.9657999873161316,0.6847807765007019,0.6572596430778503,0.6697877645492554,4.569530010223389,188.0,18.678993225097656,23.35906410217285,0
,,149,2.0,0.05435628816485405,0.9776999950408936,0.7775148153305054,0.9262336492538452,0.8347095251083374,5.025135040283203,214.0,41.165462493896484,46.24495315551758,0
,,159,2.0,0.021654952317476273,0.9918000102043152,0.6129301190376282,0.7907060384750366,0.6618718504905701,3.3462910652160645,23.0,0.11249624192714691,3.4804420471191406,0
,,169,2.0,0.08443558216094971,0.9641000032424927,0.7995312213897705,0.8395764827728271,0.8181018233299255,5.965586185455322,296.0,11.853914260864258,17.9039363861084,0
,,179,2.0,0.14278759062290192,0.9466000199317932,0.7506204843521118,0.8031284809112549,0.7738476395606995,6.683321952819824,309.0,9.789163589477539,16.615272521972656,0
,,189,2.0,0.03617054969072342,0.9868000149726868,0.7322092652320862,0.7805536389350891,0.7540074586868286,3.7086970806121826,79.0,1.7470173835754395,5.491885185241699,0
,,199,2.0,0.1278458684682846,0.9506000280380249,0.6899375915527344,0.7854518890380859,0.7264869809150696,5.658844947814941,289.0,20.565149307250977,26.35184097290039,0
,,209,2.0,0.0964873805642128,0.9603000283241272,0.6042065024375916,0.6276662349700928,0.6145690679550171,5.425140857696533,143.0,12.292320251464844,17.813949584960938,0
,,219,2.0,0.06143559515476227,0.980400025844574,0.7632363438606262,0.7993913292884827,0.7800734043121338,4.7613019943237305,142.0,1.9485777616500854,6.771315574645996,0
,,229,2.0,0.054857879877090454,0.972599983215332,0.5648512244224548,0.6578139066696167,0.5900903344154358,3.721630573272705,55.0,2.2769837379455566,6.053472518920898,0
,,239,2.0,0.09064745157957077,0.9605000019073486,0.7071075439453125,0.5920886993408203,0.6247857809066772,4.855955123901367,288.0,19.77899932861328,24.725601196289062,0
,,249,2.0,0.028583096340298653,0.9921000003814697,0.5461125373840332,0.6910383105278015,0.5732845664024353,3.15335750579834,13.0,0.09651211649179459,3.2784526348114014,0
,,259,2.0,0.030749283730983734,0.9918000102043152,0.547241747379303,0.5245041847229004,0.5320318341255188,3.797827959060669,45.0,0.2210061103105545,4.049583435058594,0
,,269,2.0,0.06252055615186691,0.9733999967575073,0.5883412957191467,0.7339910864830017,0.6258240938186646,5.393562316894531,53.0,0.9404264688491821,6.396509170532227,0
,,279,2.0,0.0885324627161026,0.9711999893188477,0.7531068325042725,0.7871750593185425,0.7689579725265503,4.581701278686523,278.0,5.139812469482422,9.810046195983887,0
,,289,2.0,0.06524936854839325,0.9745000004768372,0.5784820914268494,0.670063316822052,0.605980396270752,4.665733814239502,56.0,0.5005390048027039,5.231522083282471,0
,,299,2.0,0.04573708027601242,0.9850000143051147,0.6199411153793335,0.8014014363288879,0.6701194047927856,4.467447757720947,34.0,0.1882663369178772,4.701451301574707,0
,,309,2.0,0.023245275020599365,0.9941999912261963,0.5819282531738281,0.5867301821708679,0.5842592120170593,3.6041102409362793,20.0,0.7924368977546692,4.419792652130127,0
,,319,2.0,0.08147323131561279,0.9693999886512756,0.7163375616073608,0.7501965165138245,0.7319141626358032,4.074028968811035,215.0,5.504216194152832,9.65971851348877,0
,,329,2.0,0.07047204673290253,0.9739000201225281,0.7313573956489563,0.7816975116729736,0.7538427114486694,5.400669574737549,209.0,3.771700859069824,9.242842674255371,0
,,339,2.0,0.07016438990831375,0.9703999757766724,0.5789221525192261,0.6875847578048706,0.6090346574783325,5.354196071624756,93.0,13.2761869430542,18.700546264648438,0
,,349,2.0,0.12972649931907654,0.9469000101089478,0.6971961259841919,0.7424067854881287,0.7170389294624329,5.641953468322754,298.0,49.816062927246094,55.58774185180664,0
,,359,2.0,0.10090896487236023,0.9678999781608582,0.6306837797164917,0.5787211060523987,0.5974593758583069,6.0775861740112305,218.0,7.932453632354736,14.11094856262207,0
